RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidKd,
1999,2052,96,1,2200,270,2000,0,0,
2000,2052,56,0,2200,270,2000,0,0,
2000,2050,56,0,2200,270,2000,0,0,
2001,2049,56,0,2200,270,2000,0,0,
2001,2052,56,0,2200,270,2000,0,0,
2001,2053,56,0,2200,270,2000,0,0,
2001,2051,56,0,2200,270,2000,0,0,
2001,2050,56,0,2200,270,2000,0,0,
2001,2051,56,0,2200,270,2000,0,0,
2002,2054,56,0,2200,270,2000,0,0,
2004,2053,56,0,2200,270,2000,0,0,
2006,2053,56,0,2200,270,2000,0,0,
2007,2051,56,0,2200,270,2000,0,0,
2009,2052,56,0,2200,270,2000,0,0,
2009,2053,56,0,2200,270,2000,0,0,
2010,2053,56,0,2200,270,2000,0,0,
2011,2052,56,0,2200,270,2000,0,0,
2013,2053,56,0,2200,270,2000,0,0,
2014,2054,56,0,2200,270,2000,0,0,
2016,2054,56,0,2200,270,2000,0,0,
2018,2053,56,0,2200,270,2000,0,0,
2019,2053,56,0,2200,270,2000,0,0,
2020,2053,56,0,2200,270,2000,0,0,
2024,2054,56,0,2200,270,2000,0,0,
2024,2054,56,0,2200,270,2000,0,0,
2026,2053,56,0,2200,270,2000,0,0,
2027,2053,56,0,2200,270,2000,0,0,
2028,2054,56,0,2200,270,2000,0,0,
2029,2055,56,0,2200,270,2000,0,0,
2032,2050,56,0,2200,270,2000,0,0,
2033,2050,56,0,2200,270,2000,0,0,
2035,2049,56,0,2200,270,2000,0,0,
2036,2049,56,0,2200,270,2000,0,0,
2037,2048,56,0,2200,270,2000,0,0,
2038,2048,56,0,2200,270,2000,0,0,
2041,2047,56,0,2200,270,2000,0,0,
2044,2047,56,0,2200,270,2000,0,0,
2044,2047,56,0,2200,270,2000,0,0,
2044,2046,56,0,2200,270,2000,0,0,
2045,2045,56,0,2200,270,2000,0,0,
2048,2045,56,0,2200,270,2000,0,0,
2051,2047,56,0,2200,270,2000,0,0,
2052,2046,56,0,2200,270,2000,0,0,
2053,2046,56,0,2200,270,2000,0,0,
2054,2048,56,0,2200,270,2000,0,0,
2055,2046,56,0,2200,270,2000,0,0,
2056,2045,56,0,2200,270,2000,0,0,
2058,2042,56,0,2200,270,2000,0,0,
2060,2050,56,0,2200,270,2000,0,0,
2061,2051,56,0,2200,270,2000,0,0,
2060,2041,56,0,2200,270,2000,0,0,
2062,2041,56,0,2200,270,2000,0,0,
2064,2039,56,0,2200,270,2000,0,0,
2065,2040,56,0,2200,270,2000,0,0,
2067,2041,56,0,2200,270,2000,0,0,
2067,2041,56,0,2200,270,2000,0,0,
2068,2040,56,0,2200,270,2000,0,0,
2069,2039,56,0,2200,270,2000,0,0,
2070,2039,56,0,2200,270,2000,0,0,
2072,2038,56,0,2200,270,2000,0,0,
2073,2036,56,0,2200,270,2000,0,0,
2074,2035,56,0,2200,270,2000,0,0,
2076,2034,56,0,2200,270,2000,0,0,
2077,2034,56,0,2200,270,2000,0,0,
2076,2035,56,0,2200,270,2000,0,0,
2078,2035,56,0,2200,270,2000,0,0,
2080,2033,56,0,2200,270,2000,0,0,
2082,2031,56,0,2200,270,2000,0,0,
2083,2032,56,0,2200,270,2000,0,0,
2083,2032,56,0,2200,270,2000,0,0,
2084,2031,56,0,2200,270,2000,0,0,
2084,2032,56,0,2200,270,2000,0,0,
2085,2031,56,0,2200,270,2000,0,0,
2087,2029,56,0,2200,270,2000,0,0,
2088,2027,56,0,2200,270,2000,0,0,
2088,2028,56,0,2200,270,2000,0,0,
2090,2028,56,0,2200,270,2000,0,0,
2092,2026,56,0,2200,270,2000,0,0,
2094,2028,56,0,2200,270,2000,0,0,
2094,2029,56,0,2200,270,2000,0,0,
2094,2029,56,0,2200,270,2000,0,0,
2095,2027,56,0,2200,270,2000,0,0,
2096,2026,56,0,2200,270,2000,0,0,
2097,2025,56,0,2200,270,2000,0,0,
2098,2023,56,0,2200,270,2000,0,0,
2099,2023,56,0,2200,270,2000,0,0,
2100,2022,56,0,2200,270,2000,0,0,
2101,2022,56,0,2200,270,2000,0,0,
2103,2023,56,0,2200,270,2000,0,0,
2104,2024,56,0,2200,270,2000,0,0,
2105,2023,56,0,2200,270,2000,0,0,
2106,2020,56,0,2200,270,2000,0,0,
2106,2020,56,0,2200,270,2000,0,0,
2107,2017,56,0,2200,270,2000,0,0,
2108,2018,56,0,2200,270,2000,0,0,
2108,2018,56,0,2200,270,2000,0,0,
2110,2018,56,0,2200,270,2000,0,0,
2111,2017,56,0,2200,270,2000,0,0,
2113,2015,56,0,2200,270,2000,0,0,
2113,2015,56,0,2200,270,2000,0,0,
2113,2015,56,0,2200,270,2000,0,0,
