RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
1995,1993,0,0,2200,270,1000,100,-3508,30000,492,
1995,1997,56,0,2200,270,1000,100,5535,30000,210535,
1995,1997,56,0,2200,270,1000,100,5535,30000,210535,
1997,1996,56,0,2200,270,1000,100,11043,30000,215043,
1997,1992,56,0,2200,270,1000,100,11043,30000,215043,
1997,1991,56,0,2200,270,1000,100,11043,30000,215043,
1997,1992,56,0,2200,270,1000,100,16524,30000,219524,
1997,1991,56,0,2200,270,1000,100,16524,30000,219524,
1998,1992,56,0,2200,270,1000,100,21978,30000,223978,
1999,1992,56,0,2200,270,1000,100,21978,30000,223978,
2000,1991,56,0,2200,270,1000,100,21978,30000,223978,
2001,1990,56,0,2200,270,1000,100,27378,30000,227378,
2002,1991,56,0,2200,270,1000,100,27378,30000,227378,
2001,1993,56,0,2200,270,1000,100,30000,30000,229000,
2002,1993,56,0,2200,270,1000,100,30000,30000,229000,
2004,1994,56,0,2200,270,1000,100,30000,30000,229000,
2007,1993,56,0,2200,270,1000,100,30000,30000,224000,
2008,1994,56,0,2200,270,1000,100,30000,30000,224000,
2010,1994,56,0,2200,270,1000,100,30000,30000,224000,
2011,1994,56,0,2200,270,1000,100,30000,30000,220000,
2012,1991,56,0,2200,270,1000,100,30000,30000,220000,
2013,1990,56,0,2200,270,1000,100,30000,30000,218000,
2015,1992,56,0,2200,270,1000,100,30000,30000,218000,
2015,1993,56,0,2200,270,1000,100,30000,30000,218000,
2017,1992,56,0,2200,270,1000,100,30000,30000,214000,
2018,1993,56,0,2200,270,1000,100,30000,30000,214000,
2019,1993,56,0,2200,270,1000,100,30000,30000,211000,
2020,1992,56,0,2200,270,1000,100,30000,30000,211000,
2022,1991,56,0,2200,270,1000,100,30000,30000,211000,
2024,1993,56,0,2200,270,1000,100,30000,30000,208000,
2025,1993,56,0,2200,270,1000,100,30000,30000,208000,
2026,1992,56,0,2200,270,1000,100,30000,30000,204000,
2027,1992,56,0,2200,270,1000,100,30000,30000,204000,
2028,1992,56,0,2200,270,1000,100,30000,30000,204000,
2028,1992,56,0,2200,270,1000,100,30000,30000,202000,
2030,1992,56,0,2200,270,1000,100,30000,30000,202000,
2032,1992,56,0,2200,270,1000,100,30000,30000,198000,
2035,1991,56,0,2200,270,1000,100,30000,30000,198000,
2036,1991,56,0,2200,270,1000,100,30000,30000,198000,
2036,1990,56,0,2200,270,1000,100,30000,30000,194000,
2036,1989,56,0,2200,270,1000,100,30000,30000,194000,
2038,1987,56,0,2200,270,1000,100,30000,30000,194000,
2039,1987,56,0,2200,270,1000,100,30000,30000,192000,
2041,2008,56,0,2200,270,1000,100,30000,30000,192000,
2042,2006,56,0,2200,270,1000,100,30000,30000,189000,
2043,2005,56,0,2200,270,1000,100,30000,30000,189000,
2044,1985,56,0,2200,270,1000,100,30000,30000,189000,
2044,1986,56,0,2200,270,1000,100,30000,30000,186000,
2047,1987,56,0,2200,270,1000,100,30000,30000,186000,
2048,1987,56,0,2200,270,1000,100,30000,30000,183000,
2050,1986,56,0,2200,270,1000,100,30000,30000,183000,
2050,1984,56,0,2200,270,1000,100,30000,30000,183000,
2051,1984,56,0,2200,270,1000,100,30000,30000,180000,
2051,1984,56,0,2200,270,1000,100,30000,30000,180000,
