RegPeltierTempColdsideAdc,RegPeltierTempHotsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierPidISum,RegPeltierPidISumMax,RegPeltierPidMv,
2013,1890,74,0,2500,270,1000,500,55000,55000,541000,
2012,1888,74,0,2500,270,1000,500,55000,55000,541000,
2011,1888,74,0,2500,270,1000,500,55000,55000,543000,
2011,1890,74,0,2500,270,1000,500,55000,55000,543000,
2011,1891,74,0,2500,270,1000,500,55000,55000,544000,
2012,1889,74,0,2500,270,1000,500,55000,55000,544000,
2012,1889,74,0,2500,270,1000,500,55000,55000,544000,
2012,1889,74,0,2500,270,1000,500,55000,55000,543000,
2013,1888,74,0,2500,270,1000,500,55000,55000,543000,
2013,1886,74,0,2500,270,1000,500,55000,55000,542000,
2014,1886,74,0,2500,270,1000,500,55000,55000,542000,
2015,1887,74,0,2500,270,1000,500,55000,55000,542000,
2016,1888,74,0,2500,270,1000,500,55000,55000,540000,
2017,1888,74,0,2500,270,1000,500,55000,55000,540000,
2019,1887,74,0,2500,270,1000,500,55000,55000,540000,
2021,1888,74,0,2500,270,1000,500,55000,55000,536000,
2022,1887,74,0,2500,270,1000,500,55000,55000,536000,
2023,1887,74,0,2500,270,1000,500,55000,55000,533000,
2023,1887,74,0,2500,270,1000,500,55000,55000,533000,
2025,1888,74,0,2500,270,1000,500,55000,55000,533000,
2026,1886,74,0,2500,270,1000,500,55000,55000,530000,
2028,1886,74,0,2500,270,1000,500,55000,55000,530000,
2029,1885,74,0,2500,270,1000,500,55000,55000,526000,
2031,1884,74,0,2500,270,1000,500,55000,55000,526000,
2032,1885,74,0,2500,270,1000,500,55000,55000,526000,
2034,1885,74,0,2500,270,1000,500,55000,55000,523000,
2035,1884,74,0,2500,270,1000,500,55000,55000,523000,
2037,1884,74,0,2500,270,1000,500,55000,55000,518000,
2038,1884,74,0,2500,270,1000,500,55000,55000,518000,
2039,1883,74,0,2500,270,1000,500,55000,55000,518000,
2041,1882,74,0,2500,270,1000,500,55000,55000,515000,
2043,1883,74,0,2500,270,1000,500,55000,55000,515000,
2044,1882,74,0,2500,270,1000,500,55000,55000,511000,
2046,1883,74,0,2500,270,1000,500,55000,55000,511000,
2048,1885,74,0,2500,270,1000,500,55000,55000,511000,
2050,1884,74,0,2500,270,1000,500,55000,55000,506000,
2051,1882,74,0,2500,270,1000,500,55000,55000,506000,
2052,1880,74,0,2500,270,1000,500,55000,55000,506000,
2053,1880,74,0,2500,270,1000,500,55000,55000,503000,
2054,1879,74,0,2500,270,1000,500,55000,55000,503000,
2057,1878,74,0,2500,270,1000,500,55000,55000,499000,
2058,1878,74,0,2500,270,1000,500,55000,55000,499000,
2059,1877,74,0,2500,270,1000,500,55000,55000,499000,
2060,1877,74,0,2500,270,1000,500,55000,55000,496000,
2062,1877,74,0,2500,270,1000,500,55000,55000,496000,
2063,1876,74,0,2500,270,1000,500,55000,55000,493000,
2064,1877,74,0,2500,270,1000,500,55000,55000,493000,
2065,1876,74,0,2500,270,1000,500,55000,55000,493000,
2066,1875,74,0,2500,270,1000,500,55000,55000,490000,
2067,1873,74,0,2500,270,1000,500,55000,55000,490000,
2068,1871,74,0,2500,270,1000,500,55000,55000,487000,
2069,1872,74,0,2500,270,1000,500,55000,55000,487000,
2071,1873,74,0,2500,270,1000,500,55000,55000,487000,
2072,1873,74,0,2500,270,1000,500,55000,55000,484000,
2074,1872,74,0,2500,270,1000,500,55000,55000,484000,
2074,1871,74,0,2500,270,1000,500,55000,55000,481000,
2075,1870,74,0,2500,270,1000,500,55000,55000,481000,
2077,1871,74,0,2500,270,1000,500,55000,55000,481000,
2078,1870,74,0,2500,270,1000,500,55000,55000,478000,
2079,1868,74,0,2500,270,1000,500,55000,55000,478000,
2080,1869,74,0,2500,270,1000,500,55000,55000,475000,
