RegPeltierTempColdsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2192,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2190,4,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2191,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,3,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2207,4,0,2200,500,250,0,
2207,4,0,2200,500,250,0,
2207,4,0,2200,500,250,0,
2207,4,0,2200,500,250,0,
2207,97,1,2200,500,250,0,
2209,97,1,2200,500,250,0,
2209,97,1,2200,500,250,0,
2209,97,1,2200,500,250,0,
2209,97,1,2200,500,250,0,
2210,96,1,2200,500,250,0,
2210,96,1,2200,500,250,0,
2210,96,1,2200,500,250,0,
2210,96,1,2200,500,250,0,
2210,96,1,2200,500,250,0,
2193,96,1,2200,500,250,0,
2193,96,1,2200,500,250,0,
2193,96,1,2200,500,250,0,
2193,96,1,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2192,2,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2190,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2188,3,0,2200,500,250,0,
2186,4,0,2200,500,250,0,
2186,4,0,2200,500,250,0,
2186,4,0,2200,500,250,0,
2186,4,0,2200,500,250,0,
2186,4,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2186,5,0,2200,500,250,0,
2187,5,0,2200,500,250,0,
2187,5,0,2200,500,250,0,
2187,5,0,2200,500,250,0,
2187,5,0,2200,500,250,0,
2187,5,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2188,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
2189,4,0,2200,500,250,0,
