RegPeltierTempColdsideAdc,RegPeltierPWMDutyCycle,RegPeltierReverseMode,RegPeltierPidSetpointAdc,RegPeltierPidDt,RegPeltierPidKp,RegPeltierPidKi,RegPeltierForceTemp,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2135,10,0,2200,500,100,0,0,
2135,10,0,2200,500,100,0,0,
2135,10,0,2200,500,100,0,0,
2135,10,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2136,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2135,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2134,9,0,2200,500,100,0,0,
2136,10,0,2200,500,100,0,0,
2136,10,0,2200,500,100,0,0,
